source_id,target_id,distance
7,60,689.419672
7,61,628.557901
7,62,562.620016
7,63,544.916671
7,64,516.765875
7,65,489.980782
7,66,464.409552
7,67,461.662349
7,68,458.732043
7,69,496.782643
7,70,697.135325
7,71,669.633949
7,72,622.021054
7,73,587.373837
7,74,579.178351
7,75,565.247555
7,76,516.314420
7,77,553.587589
7,78,542.656467
7,79,576.896414
7,80,799.896219
7,81,757.479453
7,82,684.840681
7,83,680.722337
7,84,632.560180
7,85,610.862652
7,86,624.716933
7,87,611.707778
7,88,644.278740
7,89,640.959203
7,90,833.191432
7,91,790.216524
7,92,746.045966
7,93,730.612352
7,94,712.768304
7,95,699.596442
7,96,677.324848
7,97,682.805968
7,98,712.203678
7,99,723.226806
8,9,41.050138
8,10,614.276052
8,11,566.819372
8,12,461.424927
8,13,393.010373
8,14,330.413613
8,15,224.450403
8,16,205.054741
8,17,106.541659
8,18,65.485075
8,19,88.307061
8,20,640.653774
8,21,539.497185
8,22,460.663209
8,23,403.416652
8,24,325.000322
8,25,251.273951
8,26,216.409993
8,27,165.003758
8,28,154.874668
8,29,150.673727
8,30,637.364101
8,31,575.258425
8,32,483.027806
8,33,456.001088
8,34,358.747516
8,35,332.704431
8,36,267.644338
8,37,216.292886
8,38,225.369439
8,39,213.109210
8,40,656.774811
8,41,599.580097
8,42,536.604919
8,43,481.214328
8,44,400.097747
8,45,360.339524
8,46,348.212978
8,47,309.660978
8,48,305.824285
8,49,270.547746
8,50,677.691030
8,51,621.612634
8,52,547.619442
8,53,520.074725
8,54,436.317940
8,55,396.691370
8,56,373.377883
8,57,334.265677
8,58,352.430440
8,59,350.635562
8,60,737.086583
8,61,673.331958
8,62,596.122020
8,63,573.327298
8,64,532.014369
8,65,487.894281
8,66,454.850138
8,67,429.197439
8,68,418.647063
8,69,440.672050
8,70,738.454034
8,71,703.671422
8,72,649.075030
8,73,606.501500
8,74,584.913184
8,75,559.969173
8,76,501.811874
8,77,526.424579
8,78,498.634881
8,79,527.629619
8,80,835.396526
8,81,786.729291
8,82,709.002233
8,83,694.632628
8,84,636.382078
8,85,603.625966
8,86,606.674575
8,87,580.091966
8,88,604.724150
8,89,588.852247
8,90,865.387370
8,91,814.114172
8,92,761.369282
8,93,739.252897
8,94,707.871342
8,95,688.378677
8,96,653.916325
8,97,651.375578
8,98,673.347488
8,99,674.386829
9,10,653.423640
9,11,606.237993
9,12,499.725222
9,13,432.109759
9,14,368.777700
9,15,261.910762
9,16,238.974503
9,17,139.510397
9,18,89.040046
9,19,58.638134
9,20,678.572982
9,21,576.318354
9,22,496.525514
9,23,439.668712
9,24,359.174099
9,25,281.985613
9,26,240.690083
9,27,179.750554
9,28,152.402028
9,29,128.396510
9,30,672.988807
9,31,609.080338
9,32,515.752808
9,33,487.301589
9,34,386.539138
9,35,357.939537
9,36,283.823572
9,37,221.256333
9,38,217.989851
9,39,189.875249
9,40,689.020699
9,41,631.127875
9,42,565.861816
9,43,509.542308
9,44,425.714101
9,45,380.656980
9,46,361.319454
9,47,314.173536
9,48,296.290323
9,49,252.702015
9,50,708.016384
9,51,648.601225
9,52,574.512672
9,53,544.430702
9,54,456.550082
9,55,411.627564
9,56,382.900126
9,57,332.794502
9,58,346.126018
9,59,331.024243
9,60,764.175196
9,61,699.576005
9,62,618.510162
9,63,593.903619
9,64,547.698986
9,65,496.773697
9,66,460.853734
9,67,424.844901
9,68,410.620582
9,69,423.868589
9,70,763.164872
9,71,725.731090
9,72,668.670638
9,73,623.193688
9,74,596.238993
9,75,566.761343
9,76,505.046422
9,77,523.522736
9,78,487.667511
9,79,513.692505
9,80,857.557946
9,81,806.590435
9,82,727.152929
9,83,708.683441
9,84,646.537694
9,85,609.210705
9,86,607.369627
9,87,574.596717
9,88,595.164102
9,89,572.997420
